Wheel       ,cross-sectional width [mm],tire aspect ratio [%],rim diameter [inch],d [mm],Inertia,F [-]
9.5 R17.5   ,241.3                     ,0.95                 ,17.5               ,842.0 ,4.9    ,3.05
9.00 R20    ,228.6                     ,0.95                 ,20                 ,1018.0,10.5   ,3.05
9 R22.5     ,228.6                     ,0.95                 ,22.5               ,970.0 ,8.9    ,3.05
10 R17.5    ,254                       ,0.95                 ,17.5               ,858.0 ,5      ,3.05
10 R22.5    ,254                       ,0.95                 ,22.5               ,1020.0,11     ,3.05
10.00 R20   ,254                       ,0.95                 ,20                 ,1052.0,13.1   ,3.05
11 R22.5    ,279.4                     ,0.95                 ,22.5               ,1050.0,14.4   ,3.05
11.00 R20   ,279.4                     ,0.95                 ,20                 ,1082.0,14.6   ,3.05
11.00 R22   ,279.4                     ,0.95                 ,22                 ,1050.0,16     ,3.05
12 R22.5    ,304.8                     ,0.95                 ,22.5               ,1084.0,16.85  ,3.05
12.00 R20   ,304.8                     ,0.95                 ,20                 ,1122.0,19.5   ,3.05
12.00 R24   ,304.8                     ,0.95                 ,24                 ,1226.0,27.7   ,3.05
12.5 R20    ,317.5                     ,0.95                 ,20                 ,1120  ,12.7   ,3.05
13 R22.5    ,330.2                     ,0.95                 ,22.5               ,1124.0,20     ,3.05
14.00 R20   ,355.6                     ,0.95                 ,20                 ,1238.0,30.8   ,3.05
14.5 R20    ,368.3                     ,0.95                 ,20                 ,1092  ,14.8   ,3.05
16.00 R20   ,406.4                     ,0.95                 ,20                 ,1343  ,47.5   ,3.05
205/75 R17.5,205                       ,0.75                 ,17.5               ,753.0 ,3.5    ,3.05
215/75 R17.5,215                       ,0.75                 ,17.5               ,767.0 ,3.9    ,3.05
225/70 R17.5,225                       ,0.7                  ,17.5               ,759.5 ,4      ,3.05
225/75 R17.5,225                       ,0.75                 ,17.5               ,782   ,4      ,3.05
235/75 R17.5,235                       ,0.75                 ,17.5               ,797.0 ,4.5    ,3.05
245/70 R17.5,245                       ,0.7                  ,17.5               ,789.0 ,5.2    ,3.05
245/70 R19.5,245                       ,0.7                  ,19.5               ,839.0 ,6      ,3.05
255/70 R22.5,255                       ,0.7                  ,22.5               ,930.0 ,9.5    ,3.05
265/70 R17.5,265                       ,0.7                  ,17.5               ,817   ,5.6    ,3.05
265/70 R19.5,265                       ,0.7                  ,19.5               ,867.0 ,6.5    ,3.05
275/70 R22.5,275                       ,0.7                  ,22.5               ,958.0 ,11.9   ,3.05
275/80 R22.5,275                       ,0.8                  ,22.5               ,1012.0,12.8   ,3.05
285/60 R22.5,285                       ,0.6                  ,22.5               ,914.0 ,10.6   ,3.03
285/70 R19.5,285                       ,0.7                  ,19.5               ,895.0 ,7.9    ,3.05
295/55 R22.5,295                       ,0.55                 ,22.5               ,896.0 ,10.2   ,3.03
295/60 R22.5,295                       ,0.6                  ,22.5               ,926.0 ,10.8   ,3.03
295/80 R22.5,295                       ,0.8                  ,22.5               ,1044.0,15.5   ,3.05
305/60 R22.5,305                       ,0.6                  ,22.5               ,938.0 ,11.4   ,3.03
305/70 R19.5,305                       ,0.7                  ,19.5               ,923.0 ,9.2    ,3.05
305/70 R22.5,305                       ,0.7                  ,22.5               ,1000.0,13.9   ,3.05
305/75 R24.5,305                       ,0.75                 ,24.5               ,1079.8,21.2   ,3.05
315/45 R22.5,315                       ,0.45                 ,22.5               ,856.0 ,9.9    ,3.03
315/60 R22.5,315                       ,0.6                  ,22.5               ,950.0 ,12.8   ,3.03
315/70 R22.5,315                       ,0.7                  ,22.5               ,1014.0,14.9   ,3.05
315/80 R22.5,315                       ,0.8                  ,22.5               ,1076.0,17.6   ,3.05
325/95 R24  ,325                       ,0.95                 ,24                 ,1228.0,27.6   ,3.05
335/80 R20  ,335                       ,0.8                  ,20                 ,1044.0,13.5   ,3.05
355/50 R22.5,355                       ,0.5                  ,22.5               ,928.0 ,12.2   ,3.03
365/70 R22.5,365                       ,0.7                  ,22.5               ,1084.0,18.6   ,3.05
365/80 R20  ,365                       ,0.8                  ,20                 ,1092.0,17.2   ,3.05
365/85 R20  ,365                       ,0.85                 ,20                 ,1128.0,22.5   ,3.05
375/45 R22.5,375                       ,0.45                 ,22.5               ,910.0 ,11.2   ,3.03
375/50 R22.5,375                       ,0.5                  ,22.5               ,948.0 ,13     ,3.03
375/90 R22.5,375                       ,0.9                  ,22.5               ,1246.5,33.8   ,3.05
385/55 R22.5,385                       ,0.55                 ,22.5               ,996.0 ,15.9   ,3.03
385/65 R22.5,385                       ,0.65                 ,22.5               ,1072.0,19.2   ,3.03
395/85 R20  ,395                       ,0.85                 ,20                 ,1180.0,27.9   ,3.05
425/65 R22.5,425                       ,0.65                 ,22.5               ,1124.0,22.5   ,3.03
495/45 R22.5,495                       ,0.45                 ,22.5               ,1018.0,20.7   ,3.03
525/65 R20.5,525                       ,0.65                 ,20.5               ,1203.2,35     ,3.03
